example_id                                                   | status  | run_time        |
./spec/controllers/messages_controller_spec.rb[1:1:2]        | passed  | 0.06584 seconds |
./spec/controllers/messages_controller_spec.rb[1:2:1]        | passed  | 0.07852 seconds |
./spec/controllers/messages_controller_spec.rb[1:2:2]        | passed  | 0.05201 seconds |
./spec/controllers/messages_controller_spec.rb[1:3:1:1]      | passed  | 0.07672 seconds |
./spec/controllers/messages_controller_spec.rb[1:3:1:2]      | passed  | 0.07073 seconds |
./spec/controllers/messages_controller_spec.rb[1:3:2:1]      | passed  | 0.06625 seconds |
./spec/controllers/messages_controller_spec.rb[1:3:2:2]      | passed  | 0.08336 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:1:1]      | passed  | 0.05669 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:1:2]      | passed  | 0.05567 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:2:1]      | passed  | 0.064 seconds   |
./spec/mailers/user_mailer_spec.rb[1:1:1]                    | passed  | 0.52158 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2]                    | passed  | 0.06357 seconds |
./spec/models/dev_app_spec.rb[1:1]                           | passed  | 0.03449 seconds |
./spec/models/dev_app_spec.rb[1:2]                           | passed  | 0.06483 seconds |
./spec/models/dev_app_spec.rb[1:3]                           | passed  | 0.03746 seconds |
./spec/models/dev_app_spec.rb[1:4]                           | passed  | 0.04353 seconds |
./spec/models/dev_app_spec.rb[1:5]                           | passed  | 0.06596 seconds |
./spec/models/dev_app_spec.rb[1:6]                           | passed  | 0.04824 seconds |
./spec/models/dev_app_spec.rb[1:7]                           | passed  | 0.0491 seconds  |
./spec/models/dev_app_spec.rb[1:8]                           | passed  | 0.03958 seconds |
./spec/models/dev_app_spec.rb[1:9]                           | passed  | 0.03723 seconds |
./spec/models/dev_app_spec.rb[1:10]                          | passed  | 0.07439 seconds |
./spec/models/dev_app_spec.rb[1:11]                          | passed  | 0.04628 seconds |
./spec/models/dev_app_spec.rb[1:12]                          | passed  | 0.04346 seconds |
./spec/models/linked_app_spec.rb[1:1]                        | passed  | 0.08415 seconds |
./spec/models/linked_app_spec.rb[1:2]                        | passed  | 0.05881 seconds |
./spec/models/linked_app_spec.rb[1:3]                        | passed  | 0.07078 seconds |
./spec/models/message_spec.rb[1:1]                           | passed  | 0.04024 seconds |
./spec/models/message_spec.rb[1:2]                           | passed  | 0.06807 seconds |
./spec/models/message_spec.rb[1:3]                           | passed  | 0.04824 seconds |
./spec/models/message_spec.rb[1:4]                           | passed  | 0.19562 seconds |
./spec/models/message_spec.rb[1:5]                           | passed  | 0.04811 seconds |
./spec/models/message_spec.rb[1:6]                           | passed  | 0.09553 seconds |
./spec/models/micropost_spec.rb[1:1]                         | pending | 0.00001 seconds |
./spec/models/relationship_spec.rb[1:1]                      | pending | 0.00002 seconds |
./spec/models/user_spec.rb[1:1:1:1]                          | passed  | 0.09103 seconds |
./spec/models/user_spec.rb[1:1:2:1]                          | passed  | 0.10933 seconds |
./spec/models/user_spec.rb[1:1:3:1]                          | passed  | 0.11817 seconds |
./spec/models/user_spec.rb[1:1:4:1]                          | passed  | 0.15024 seconds |
./spec/models/user_spec.rb[1:2:1]                            | passed  | 0.06955 seconds |
